Age,AgeGroup,Attrition,Attrition_Flag,Department,Education,EducationLevel,JobRole_Clean,Gender,MaritalStatus_Clean,Monthly Income,MonthlyIncome_Lakhs,SalaryBand,OverTime_Flag,Percent Salary Hike,Performance Rating,PerformanceRating_Clean,HighPerformer,Total Working Years,Years At Company,TenureGroup,LongTenure,NewHire,Work Life Balance,WorkLifeBalance_Level,GoodWorkLife,PoorWorkLife,Stock Option Level,HasStockOptions,Num Companies Worked,Distance From Home,AvgSatisfaction,HighSatisfaction,LowSatisfaction,HighInvolvement,LowInvolvement,HighPaid,LowPaid,EmploymentStatus
35,36-45,No,0,R&D,Bachelor's Degree,,Laboratory Technician,Male,Married,2426,0.02426,<20K,0,13,3,Fully Meets,0,6,5,5-10 years,0,0,3,Good,1,0,1,1,0,16,2.0,0,1,1,0,0,1,Current
29,26-35,No,0,R&D,Associates Degree,,Laboratory Technician,Female,Single,4193,0.04193,<20K,1,12,3,Fully Meets,0,10,9,5-10 years,1,0,3,Good,1,0,0,0,0,15,3.6666666666666665,1,0,0,1,0,1,Current
31,26-35,No,0,R&D,High School,,Research Scientist,Male,Divorced,2911,0.02911,<20K,0,17,3,Fully Meets,0,5,5,5-10 years,0,0,2,Average,0,1,1,1,1,26,2.6666666666666665,0,0,1,0,0,1,Current
34,26-35,No,0,R&D,Associates Degree,,Laboratory Technician,Male,Divorced,2661,0.02661,<20K,0,11,3,Fully Meets,0,3,2,1-3 years,0,0,3,Good,1,0,1,1,0,19,3.0,0,0,1,0,0,1,Current
28,26-35,Yes,1,R&D,Bachelor's Degree,,Laboratory Technician,Male,Single,2028,0.02028,<20K,1,14,3,Fully Meets,0,6,4,3-5 years,0,0,3,Good,1,0,0,0,5,24,2.6666666666666665,0,0,0,1,0,1,Ex-Employee
29,26-35,No,0,R&D,Master's Degree,,Manufacturing Director,Female,Divorced,9980,0.0998,<20K,0,11,3,Fully Meets,0,10,10,10-15 years,1,0,3,Good,1,0,1,1,1,21,2.0,0,1,1,0,0,1,Current
32,26-35,No,0,R&D,Associates Degree,,Research Scientist,Male,Divorced,3298,0.03298,<20K,1,12,3,Fully Meets,0,7,6,5-10 years,1,0,2,Average,0,1,2,1,0,5,2.3333333333333335,0,0,1,0,0,1,Current
22,18-25,No,0,R&D,Associates Degree,,Laboratory Technician,Male,Divorced,2935,0.02935,<20K,1,13,3,Fully Meets,0,1,1,1-3 years,0,0,2,Average,0,1,2,1,1,16,3.3333333333333335,1,0,1,0,0,1,Current
53,46-55,No,0,Sales,Master's Degree,,Manager,Female,Married,15427,0.15427,<20K,0,16,3,Fully Meets,0,31,25,20+ years,1,0,3,Good,1,0,0,0,2,2,2.6666666666666665,0,0,0,1,0,1,Current
38,36-45,No,0,R&D,Bachelor's Degree,,Research Scientist,Male,Single,3944,0.03944,<20K,1,11,3,Fully Meets,0,6,3,3-5 years,0,0,3,Good,1,0,0,0,5,2,3.6666666666666665,1,0,1,0,0,1,Current
24,18-25,No,0,R&D,Associates Degree,,Manufacturing Director,Female,Divorced,4011,0.04011,<20K,0,18,3,Fully Meets,0,5,4,3-5 years,0,0,2,Average,0,1,1,1,0,11,2.6666666666666665,0,0,1,0,0,1,Current
36,36-45,Yes,1,Sales,Master's Degree,,Sales Representative,Male,Single,3407,0.03407,<20K,0,23,4,Exceeds,1,10,5,5-10 years,0,0,3,Good,1,0,0,0,7,9,2.0,0,1,0,1,0,1,Ex-Employee
34,26-35,No,0,R&D,Master's Degree,,Research Director,Female,Single,11994,0.11994,<20K,0,11,3,Fully Meets,0,13,12,10-15 years,1,0,3,Good,1,0,0,0,0,7,2.0,0,1,1,0,0,1,Current
21,18-25,No,0,R&D,Associates Degree,,Research Scientist,Male,Single,1232,0.01232,<20K,0,14,3,Fully Meets,0,0,0,<1 year,0,1,3,Good,1,0,0,0,1,15,3.6666666666666665,1,0,1,0,0,1,Current
34,26-35,Yes,1,R&D,High School,,Research Scientist,Male,Single,2960,0.0296,<20K,0,11,3,Fully Meets,0,8,4,3-5 years,0,0,3,Good,1,0,0,0,2,6,2.0,0,1,1,0,0,1,Ex-Employee
53,46-55,No,0,R&D,Bachelor's Degree,,Manager,Female,Divorced,19094,0.19094,<20K,0,11,3,Fully Meets,0,26,14,10-15 years,1,0,2,Average,0,1,1,1,4,5,3.3333333333333335,1,0,1,0,0,1,Current
32,26-35,Yes,1,R&D,High School,,Research Scientist,Female,Single,3919,0.03919,<20K,1,22,4,Exceeds,1,10,10,10-15 years,1,0,3,Good,1,0,0,0,1,16,1.6666666666666667,0,1,0,1,0,1,Ex-Employee
42,36-45,No,0,Sales,Master's Degree,,Sales Executive,Male,Married,6825,0.06825,<20K,0,11,3,Fully Meets,0,10,9,5-10 years,1,0,3,Good,1,0,1,1,0,8,3.0,0,0,1,0,0,1,Current
44,36-45,No,0,R&D,Master's Degree,,Healthcare Representative,Female,Married,10248,0.10248,<20K,0,14,3,Fully Meets,0,24,22,20+ years,1,0,3,Good,1,0,1,1,3,7,3.0,0,0,0,1,0,1,Current
46,46-55,No,0,Sales,Master's Degree,,Manager,Female,Single,18947,0.18947,<20K,0,12,3,Fully Meets,0,22,2,1-3 years,0,0,2,Average,0,1,0,0,3,2,2.3333333333333335,0,0,1,0,0,1,Current
33,26-35,No,0,R&D,Bachelor's Degree,,Laboratory Technician,Male,Single,2496,0.02496,<20K,0,11,3,Fully Meets,0,7,1,1-3 years,0,0,3,Good,1,0,0,0,4,2,3.6666666666666665,1,0,1,0,0,1,Current
44,36-45,No,0,R&D,Master's Degree,,Healthcare Representative,Male,Married,6465,0.06465,<20K,1,13,3,Fully Meets,0,9,4,3-5 years,0,0,4,Excellent,1,0,0,0,2,10,4.0,1,0,1,0,0,1,Current
30,26-35,No,0,R&D,Associates Degree,,Laboratory Technician,Male,Single,2206,0.02206,<20K,0,13,3,Fully Meets,0,10,10,10-15 years,1,0,3,Good,1,0,0,0,1,9,2.6666666666666665,0,0,0,1,0,1,Current
39,36-45,Yes,1,Sales,Bachelor's Degree,,Sales Representative,Male,Married,2086,0.02086,<20K,0,14,3,Fully Meets,0,19,1,1-3 years,0,0,4,Excellent,1,0,1,1,3,5,3.6666666666666665,1,0,1,0,0,1,Ex-Employee
24,18-25,Yes,1,R&D,Bachelor's Degree,,Research Scientist,Male,Married,2293,0.02293,<20K,1,16,3,Fully Meets,0,6,2,1-3 years,0,0,2,Average,0,1,1,1,2,1,2.3333333333333335,0,0,1,0,0,1,Ex-Employee
43,36-45,No,0,R&D,Associates Degree,,Research Scientist,Female,Divorced,2645,0.02645,<20K,0,12,3,Fully Meets,0,6,5,5-10 years,0,0,2,Average,0,1,2,1,1,2,3.6666666666666665,1,0,1,0,0,1,Current
50,46-55,Yes,1,Sales,Associates Degree,,Sales Representative,Male,Married,2683,0.02683,<20K,1,14,3,Fully Meets,0,3,3,3-5 years,0,0,3,Good,1,0,0,0,1,3,2.3333333333333335,0,0,0,1,0,1,Ex-Employee
35,36-45,No,0,Sales,Bachelor's Degree,,Sales Representative,Female,Married,2014,0.02014,<20K,0,13,3,Fully Meets,0,2,2,1-3 years,0,0,3,Good,1,0,0,0,1,2,3.0,0,0,1,0,0,1,Current
36,36-45,No,0,R&D,Master's Degree,,Research Scientist,Female,Married,3419,0.03419,<20K,1,14,3,Fully Meets,0,6,1,1-3 years,0,0,4,Excellent,1,0,1,1,9,5,2.3333333333333335,0,0,0,1,0,1,Current
33,26-35,No,0,Sales,Bachelor's Degree,,Sales Executive,Female,Married,5376,0.05376,<20K,0,19,3,Fully Meets,0,10,5,5-10 years,0,0,3,Good,1,0,2,1,2,1,1.6666666666666667,0,1,1,0,0,1,Current
35,36-45,No,0,R&D,Associates Degree,,Laboratory Technician,Male,Divorced,1951,0.01951,<20K,0,12,3,Fully Meets,0,1,1,1-3 years,0,0,3,Good,1,0,1,1,1,4,3.3333333333333335,1,0,1,0,0,1,Current
27,26-35,No,0,R&D,Master's Degree,,Laboratory Technician,Female,Divorced,2341,0.02341,<20K,0,13,3,Fully Meets,0,1,1,1-3 years,0,0,3,Good,1,0,1,1,1,2,3.0,0,0,1,0,0,1,Current
26,26-35,Yes,1,R&D,Bachelor's Degree,,Laboratory Technician,Male,Single,2293,0.02293,<20K,0,12,3,Fully Meets,0,1,1,1-3 years,0,0,2,Average,0,1,0,0,1,25,2.3333333333333335,0,0,0,1,0,1,Ex-Employee
27,26-35,No,0,Sales,Bachelor's Degree,,Sales Executive,Male,Single,8726,0.08726,<20K,0,15,3,Fully Meets,0,9,9,5-10 years,1,0,3,Good,1,0,0,0,1,8,3.6666666666666665,1,0,1,0,0,1,Current
30,26-35,No,0,R&D,Associates Degree,,Laboratory Technician,Female,Single,4011,0.04011,<20K,0,23,4,Exceeds,1,12,12,10-15 years,1,0,3,Good,1,0,0,0,1,1,3.6666666666666665,1,0,1,0,0,1,Current
41,36-45,Yes,1,R&D,Bachelor's Degree,,Research Director,Female,Married,19545,0.19545,<20K,0,12,3,Fully Meets,0,23,22,20+ years,1,0,3,Good,1,0,0,0,1,12,3.0,0,0,1,0,0,1,Ex-Employee
34,26-35,No,0,Sales,Master's Degree,,Sales Executive,Male,Single,4568,0.04568,<20K,0,20,4,Exceeds,1,10,9,5-10 years,1,0,3,Good,1,0,0,0,0,23,2.6666666666666665,0,0,1,0,0,1,Current
37,36-45,No,0,R&D,Associates Degree,,Research Scientist,Male,Married,3022,0.03022,<20K,0,21,4,Exceeds,1,8,1,1-3 years,0,0,3,Good,1,0,0,0,4,19,1.6666666666666667,0,1,1,0,0,1,Current
46,46-55,No,0,Sales,Master's Degree,,Sales Executive,Male,Single,5772,0.05772,<20K,1,21,4,Exceeds,1,14,9,5-10 years,1,0,3,Good,1,0,0,0,4,5,2.6666666666666665,0,0,1,0,0,1,Current
35,36-45,No,0,R&D,High School,,Laboratory Technician,Male,Married,2269,0.02269,<20K,0,19,3,Fully Meets,0,1,1,1-3 years,0,0,3,Good,1,0,0,0,1,8,4.0,1,0,1,0,0,1,Current
48,46-55,Yes,1,R&D,Associates Degree,,Laboratory Technician,Male,Single,5381,0.05381,<20K,1,13,3,Fully Meets,0,23,1,1-3 years,0,0,3,Good,1,0,0,0,9,1,2.6666666666666665,0,0,0,1,0,1,Ex-Employee
28,26-35,Yes,1,R&D,Master's Degree,,Laboratory Technician,Male,Single,3441,0.03441,<20K,1,13,3,Fully Meets,0,2,2,1-3 years,0,0,2,Average,0,1,0,0,1,5,3.0,0,0,1,0,0,1,Ex-Employee
44,36-45,No,0,Sales,Doctoral Degree,,Sales Executive,Female,Divorced,5454,0.05454,<20K,1,21,4,Exceeds,1,9,4,3-5 years,0,0,2,Average,0,1,1,1,5,1,2.0,0,1,1,0,0,1,Current
35,36-45,No,0,R&D,Associates Degree,,Healthcare Representative,Male,Married,9884,0.09884,<20K,1,13,3,Fully Meets,0,10,4,3-5 years,0,0,3,Good,1,0,1,1,2,11,2.3333333333333335,0,0,0,1,0,1,Current
26,26-35,No,0,Sales,Bachelor's Degree,,Sales Executive,Female,Married,4157,0.04157,<20K,1,19,3,Fully Meets,0,5,2,1-3 years,0,0,2,Average,0,1,1,1,7,23,3.3333333333333335,1,0,0,1,0,1,Current
33,26-35,No,0,R&D,Associates Degree,,Research Director,Female,Single,13458,0.13458,<20K,1,12,3,Fully Meets,0,15,15,15-20 years,1,0,3,Good,1,0,0,0,1,1,2.6666666666666665,0,0,1,0,0,1,Current
35,36-45,No,0,Sales,Doctoral Degree,,Sales Executive,Male,Married,9069,0.09069,<20K,0,22,4,Exceeds,1,9,9,5-10 years,1,0,2,Average,0,1,1,1,1,18,2.3333333333333335,0,0,1,0,0,1,Current
35,36-45,No,0,R&D,Master's Degree,,Laboratory Technician,Female,Married,4014,0.04014,<20K,1,15,3,Fully Meets,0,4,2,1-3 years,0,0,3,Good,1,0,1,1,3,23,2.3333333333333335,0,0,1,0,0,1,Current
31,26-35,No,0,R&D,Master's Degree,,Laboratory Technician,Male,Divorced,5915,0.05915,<20K,0,22,4,Exceeds,1,10,7,5-10 years,1,0,2,Average,0,1,1,1,3,7,4.0,1,0,1,0,0,1,Current
37,36-45,No,0,R&D,Master's Degree,,Manufacturing Director,Male,Divorced,5993,0.05993,<20K,0,18,3,Fully Meets,0,7,7,5-10 years,1,0,4,Excellent,1,0,1,1,1,1,2.3333333333333335,0,0,0,1,0,1,Current
32,26-35,No,0,R&D,Bachelor's Degree,,Manufacturing Director,Male,Married,6162,0.06162,<20K,1,22,4,Exceeds,1,9,9,5-10 years,1,0,3,Good,1,0,1,1,1,1,2.3333333333333335,0,0,1,0,0,1,Current
38,36-45,No,0,R&D,Doctoral Degree,,Laboratory Technician,Female,Single,2406,0.02406,<20K,0,11,3,Fully Meets,0,10,10,10-15 years,1,0,3,Good,1,0,0,0,1,29,4.0,1,0,1,0,0,1,Current
50,46-55,No,0,R&D,Associates Degree,,Research Director,Female,Divorced,18740,0.1874,<20K,1,12,3,Fully Meets,0,29,27,20+ years,1,0,2,Average,0,1,1,1,5,7,3.0,0,0,0,1,0,1,Current
59,56-65,No,0,Sales,Bachelor's Degree,,Sales Executive,Female,Single,7637,0.07637,<20K,0,11,3,Fully Meets,0,28,21,20+ years,1,0,2,Average,0,1,0,0,7,25,2.0,0,1,1,0,0,1,Current
36,36-45,No,0,R&D,Bachelor's Degree,,Healthcare Representative,Female,Divorced,10096,0.10096,<20K,0,13,3,Fully Meets,0,17,17,15-20 years,1,0,3,Good,1,0,3,1,1,8,2.6666666666666665,0,0,1,0,0,1,Current
55,56-65,No,0,R&D,Bachelor's Degree,,Manager,Female,Divorced,14756,0.14756,<20K,1,14,3,Fully Meets,0,21,5,5-10 years,0,0,3,Good,1,0,3,1,2,8,3.3333333333333335,1,0,1,0,0,1,Current
36,36-45,No,0,R&D,Bachelor's Degree,,Manufacturing Director,Male,Single,6499,0.06499,<20K,0,13,3,Fully Meets,0,6,6,5-10 years,1,0,3,Good,1,0,0,0,1,11,2.3333333333333335,0,0,0,1,0,1,Current
45,46-55,No,0,R&D,Bachelor's Degree,,Research Scientist,Male,Divorced,9724,0.09724,<20K,0,17,3,Fully Meets,0,25,1,1-3 years,0,0,3,Good,1,0,1,1,2,7,2.0,0,1,1,0,0,1,Current
35,36-45,No,0,R&D,Bachelor's Degree,,Research Scientist,Male,Married,2194,0.02194,<20K,0,13,3,Fully Meets,0,5,3,3-5 years,0,0,2,Average,0,1,1,1,4,1,2.3333333333333335,0,0,1,0,0,1,Current
36,36-45,Yes,1,R&D,Bachelor's Degree,,Research Scientist,Male,Married,3388,0.03388,<20K,1,17,3,Fully Meets,0,2,1,1-3 years,0,0,2,Average,0,1,1,1,0,9,2.6666666666666665,0,0,0,1,0,1,Ex-Employee
59,56-65,No,0,Sales,High School,,Sales Executive,Female,Single,5473,0.05473,<20K,0,11,3,Fully Meets,0,20,4,3-5 years,0,0,2,Average,0,1,0,0,7,1,2.6666666666666665,0,0,0,1,0,1,Current
29,26-35,No,0,R&D,Bachelor's Degree,,Research Scientist,Male,Married,2703,0.02703,<20K,0,23,4,Exceeds,1,6,5,5-10 years,0,0,3,Good,1,0,1,1,0,2,3.0,0,0,1,0,0,1,Current
31,26-35,No,0,R&D,Master's Degree,,Research Scientist,Male,Single,2501,0.02501,<20K,0,17,3,Fully Meets,0,1,1,1-3 years,0,0,3,Good,1,0,0,0,1,1,2.3333333333333335,0,0,1,0,0,1,Current
32,26-35,No,0,R&D,Bachelor's Degree,,Research Scientist,Male,Married,6220,0.0622,<20K,0,17,3,Fully Meets,0,10,10,10-15 years,1,0,3,Good,1,0,2,1,1,1,2.0,0,1,1,0,0,1,Current
36,36-45,No,0,R&D,Bachelor's Degree,,Laboratory Technician,Female,Married,3038,0.03038,<20K,0,12,3,Fully Meets,0,5,1,1-3 years,0,0,3,Good,1,0,0,0,3,6,2.6666666666666665,0,0,1,0,0,1,Current
31,26-35,No,0,R&D,Master's Degree,,Manufacturing Director,Female,Single,4424,0.04424,<20K,0,23,4,Exceeds,1,11,11,10-15 years,1,0,3,Good,1,0,0,0,1,8,3.6666666666666665,1,0,1,0,0,1,Current
35,36-45,No,0,Sales,Master's Degree,,Sales Executive,Male,Single,4312,0.04312,<20K,0,14,3,Fully Meets,0,16,15,15-20 years,1,0,3,Good,1,0,0,0,0,1,2.0,0,1,0,1,0,1,Current
45,46-55,No,0,R&D,Master's Degree,,Research Director,Male,Married,13245,0.13245,<20K,1,14,3,Fully Meets,0,17,0,<1 year,0,1,4,Excellent,1,0,0,0,4,6,2.3333333333333335,0,0,1,0,0,1,Current
37,36-45,No,0,R&D,Master's Degree,,Research Director,Male,Single,13664,0.13664,<20K,0,13,3,Fully Meets,0,16,5,5-10 years,0,0,4,Excellent,1,0,0,0,4,7,1.6666666666666667,0,1,1,0,0,1,Current
46,46-55,No,0,HR,Associates Degree,,Human Resources,Male,Divorced,5021,0.05021,<20K,1,22,4,Exceeds,1,16,4,3-5 years,0,0,3,Good,1,0,1,1,8,5,2.6666666666666665,0,0,1,0,0,1,Current
30,26-35,No,0,R&D,High School,,Laboratory Technician,Male,Married,5126,0.05126,<20K,1,12,3,Fully Meets,0,10,10,10-15 years,1,0,2,Average,0,1,2,1,1,1,3.6666666666666665,1,0,0,1,0,1,Current
35,36-45,No,0,R&D,Bachelor's Degree,,Research Scientist,Male,Single,2859,0.02859,<20K,0,18,3,Fully Meets,0,6,6,5-10 years,1,0,3,Good,1,0,0,0,1,1,2.0,0,1,0,1,0,1,Current
55,56-65,No,0,Sales,Associates Degree,,Sales Executive,Male,Married,10239,0.10239,<20K,0,14,3,Fully Meets,0,24,1,1-3 years,0,0,3,Good,1,0,1,1,3,1,3.0,0,0,1,0,0,1,Current
38,36-45,No,0,R&D,Bachelor's Degree,,Research Scientist,Female,Divorced,5329,0.05329,<20K,1,12,3,Fully Meets,0,17,13,10-15 years,1,0,3,Good,1,0,3,1,7,6,3.3333333333333335,1,0,0,1,0,1,Current
34,26-35,No,0,R&D,Associates Degree,,Manufacturing Director,Male,Married,4325,0.04325,<20K,0,15,3,Fully Meets,0,5,5,5-10 years,0,0,3,Good,1,0,0,0,1,1,2.0,0,1,1,0,0,1,Current
56,56-65,No,0,R&D,Bachelor's Degree,,Manufacturing Director,Male,Single,7260,0.0726,<20K,0,11,3,Fully Meets,0,37,6,5-10 years,1,0,2,Average,0,1,0,0,4,7,3.0,0,0,0,1,0,1,Current
23,18-25,No,0,Sales,High School,,Sales Representative,Male,Divorced,2322,0.02322,<20K,0,13,3,Fully Meets,0,3,0,<1 year,0,1,3,Good,1,0,1,1,3,2,2.3333333333333335,0,0,1,0,0,1,Current
51,46-55,No,0,R&D,Master's Degree,,Laboratory Technician,Male,Married,2075,0.02075,<20K,0,23,4,Exceeds,1,10,4,3-5 years,0,0,3,Good,1,0,2,1,3,9,3.3333333333333335,1,0,1,0,0,1,Current
30,26-35,No,0,R&D,Bachelor's Degree,,Healthcare Representative,Male,Married,4152,0.04152,<20K,0,19,3,Fully Meets,0,11,11,10-15 years,1,0,3,Good,1,0,3,1,1,2,2.6666666666666665,0,0,0,1,0,1,Current
46,46-55,Yes,1,Sales,Associates Degree,,Sales Executive,Male,Single,9619,0.09619,<20K,0,16,3,Fully Meets,0,9,9,5-10 years,1,0,3,Good,1,0,0,0,1,9,3.6666666666666665,1,0,0,1,0,1,Ex-Employee
40,36-45,No,0,R&D,Master's Degree,,Healthcare Representative,Male,Married,13503,0.13503,<20K,0,22,4,Exceeds,1,22,22,20+ years,1,0,2,Average,0,1,1,1,1,1,3.0,0,0,0,1,0,1,Current
51,46-55,No,0,Sales,Master's Degree,,Sales Executive,Male,Single,5441,0.05441,<20K,1,22,4,Exceeds,1,11,10,10-15 years,1,0,1,Bad,0,1,0,0,0,21,3.6666666666666665,1,0,1,0,0,1,Current
30,26-35,No,0,Sales,Associates Degree,,Sales Executive,Female,Divorced,5209,0.05209,<20K,1,12,3,Fully Meets,0,11,11,10-15 years,1,0,2,Average,0,1,3,1,1,4,2.3333333333333335,0,0,0,1,0,1,Current
46,46-55,No,0,R&D,Bachelor's Degree,,Healthcare Representative,Male,Married,10673,0.10673,<20K,1,13,3,Fully Meets,0,21,10,10-15 years,1,0,2,Average,0,1,1,1,2,1,2.3333333333333335,0,0,0,1,0,1,Current
32,26-35,No,0,Sales,Master's Degree,,Sales Executive,Male,Single,5010,0.0501,<20K,0,16,3,Fully Meets,0,12,11,10-15 years,1,0,3,Good,1,0,0,0,1,6,2.0,0,1,1,0,0,1,Current
54,46-55,No,0,R&D,Master's Degree,,Research Director,Female,Married,13549,0.13549,<20K,0,12,3,Fully Meets,0,16,4,3-5 years,0,0,1,Bad,0,1,1,1,9,2,1.6666666666666667,0,1,1,0,0,1,Current
24,18-25,No,0,Sales,Associates Degree,,Sales Executive,Female,Married,4999,0.04999,<20K,0,21,4,Exceeds,1,4,3,3-5 years,0,0,2,Average,0,1,1,1,0,3,1.6666666666666667,0,1,1,0,0,1,Current
28,26-35,No,0,Sales,Bachelor's Degree,,Sales Executive,Male,Married,4221,0.04221,<20K,0,15,3,Fully Meets,0,5,5,5-10 years,0,0,4,Excellent,1,0,0,0,1,4,2.3333333333333335,0,0,1,0,0,1,Current
58,56-65,No,0,Sales,Master's Degree,,Sales Executive,Male,Single,13872,0.13872,<20K,0,13,3,Fully Meets,0,38,37,20+ years,1,0,2,Average,0,1,0,0,0,10,3.3333333333333335,1,0,1,0,0,1,Current
44,36-45,No,0,R&D,Bachelor's Degree,,Laboratory Technician,Male,Married,2042,0.02042,<20K,0,12,3,Fully Meets,0,17,3,3-5 years,0,0,4,Excellent,1,0,1,1,4,23,2.3333333333333335,0,0,1,0,0,1,Current
37,36-45,Yes,1,HR,Master's Degree,,Human Resources,Male,Divorced,2073,0.02073,<20K,1,22,4,Exceeds,1,7,3,3-5 years,0,0,3,Good,1,0,0,0,4,6,2.6666666666666665,0,0,1,0,0,1,Ex-Employee
32,26-35,No,0,R&D,High School,,Research Scientist,Male,Single,2956,0.02956,<20K,0,13,3,Fully Meets,0,1,1,1-3 years,0,0,3,Good,1,0,0,0,1,1,3.0,0,0,1,0,0,1,Current
20,18-25,Yes,1,R&D,Bachelor's Degree,,Laboratory Technician,Female,Single,2926,0.02926,<20K,1,18,3,Fully Meets,0,1,1,1-3 years,0,0,3,Good,1,0,0,0,1,6,3.3333333333333335,1,0,0,1,0,1,Ex-Employee
34,26-35,No,0,R&D,Master's Degree,,Research Scientist,Female,Single,4809,0.04809,<20K,0,14,3,Fully Meets,0,16,16,15-20 years,1,0,3,Good,1,0,0,0,1,6,2.3333333333333335,0,0,1,0,0,1,Current
37,36-45,No,0,R&D,Associates Degree,,Healthcare Representative,Male,Divorced,5163,0.05163,<20K,0,14,3,Fully Meets,0,17,1,1-3 years,0,0,4,Excellent,1,0,1,1,5,2,3.6666666666666665,1,0,0,1,0,1,Current
59,56-65,No,0,HR,Master's Degree,,Manager,Female,Married,18844,0.18844,<20K,0,21,4,Exceeds,1,30,3,3-5 years,0,0,3,Good,1,0,1,1,9,2,3.6666666666666665,1,0,0,1,0,1,Current
50,46-55,No,0,R&D,Bachelor's Degree,,Research Director,Female,Married,18172,0.18172,<20K,1,19,3,Fully Meets,0,28,8,5-10 years,1,0,2,Average,0,1,0,0,3,1,1.3333333333333333,0,1,1,0,0,1,Current
25,26-35,Yes,1,Sales,Bachelor's Degree,,Sales Executive,Male,Single,5744,0.05744,<20K,1,11,3,Fully Meets,0,6,6,5-10 years,1,0,3,Good,1,0,0,0,1,5,3.3333333333333335,1,0,0,1,0,1,Ex-Employee
25,26-35,No,0,R&D,High School,,Research Scientist,Male,Married,2889,0.02889,<20K,0,11,3,Fully Meets,0,2,2,1-3 years,0,0,3,Good,1,0,2,1,1,7,3.6666666666666665,1,0,0,1,0,1,Current
22,18-25,No,0,R&D,Bachelor's Degree,,Laboratory Technician,Female,Single,2871,0.02871,<20K,0,15,3,Fully Meets,0,1,0,<1 year,0,1,3,Good,1,0,0,0,1,15,3.0,0,0,1,0,0,1,Current
51,46-55,No,0,R&D,Master's Degree,,Healthcare Representative,Female,Single,7484,0.07484,<20K,0,20,4,Exceeds,1,23,13,10-15 years,1,0,2,Average,0,1,0,0,3,1,1.6666666666666667,0,1,0,1,0,1,Current
34,26-35,Yes,1,R&D,Bachelor's Degree,,Laboratory Technician,Male,Single,6074,0.06074,<20K,1,24,4,Exceeds,1,9,9,5-10 years,1,0,3,Good,1,0,0,0,1,7,2.6666666666666665,0,0,0,1,0,1,Ex-Employee
54,46-55,No,0,HR,Bachelor's Degree,,Manager,Female,Single,17328,0.17328,<20K,1,12,3,Fully Meets,0,23,5,5-10 years,0,0,3,Good,1,0,0,0,2,26,3.6666666666666665,1,0,1,0,0,1,Current
